file,variant,n_total,n_pos,n_neg,gen_roc,val_roc,val_acc,pearson,spearman,n
scores_basetyp-v7-Qwen--Qwen3.5-9B-delta0.72-epoch2--humaneval-v2.1correct-multi-all--d2g--random--alpha1.0--full-completion--semi0.1--fix1_merged_humaneval-v2.1correct-multi-humaneval_100_test_log-odds_tc_20260616.csv,raw,28,15,13,0.9384615384615385,0.917948717948718,0.8571428571428571,0.9066170379631858,0.9074986316365626,28
scores_basetyp-v7-Qwen--Qwen3.5-9B-delta0.72-epoch2--humaneval-v2.1correct-multi-all--d2g--random--alpha1.0--full-completion--semi0.1--fix1_merged_humaneval-v2.1correct-multi-humaneval_100_test_log-odds_tc_20260616.csv,tc,28,15,13,0.8923076923076924,0.917948717948718,0.8571428571428571,0.6869306127045154,0.746031746031746,28
scores_basetyp-v7-Qwen--Qwen3.5-9B-delta0.72-epoch2--humaneval-v2.1correct-multi-all--d2g--random--alpha1.0--full-completion--semi0.1--fix1_merged_humaneval-v2.1correct-multi-humaneval_100_test_log-odds_tc_20260616.csv,lenorm,28,15,13,0.7230769230769232,0.917948717948718,0.8571428571428571,0.5690817360594147,0.6524356869184454,28
scores_basetyp-v7-Qwen--Qwen3.5-9B-delta0.72-epoch2--humaneval-v2.1correct-multi-all--d2g--random--alpha1.0--full-completion--semi0.1--fix1_merged_humaneval-v2.1correct-multi-humaneval_100_test_log-odds_tc_20260616.csv,tc+lenorm,28,15,13,0.9384615384615385,0.917948717948718,0.8571428571428571,0.8306411998507294,0.8040503557744937,28
scores_basetyp-v7-Qwen--Qwen3.5-9B-delta0.72-epoch2--humaneval-v2.1correct-multi-all--d2g--random--alpha1.0--full-completion--semi0.1--fix1_merged_humaneval-v2.1correct-multi-humaneval_104_test_log-odds_tc_20260616.csv,raw,29,15,14,0.9095238095238095,0.7095238095238094,0.7586206896551724,0.7970244641199264,0.660591133004926,29
scores_basetyp-v7-Qwen--Qwen3.5-9B-delta0.72-epoch2--humaneval-v2.1correct-multi-all--d2g--random--alpha1.0--full-completion--semi0.1--fix1_merged_humaneval-v2.1correct-multi-humaneval_104_test_log-odds_tc_20260616.csv,tc,29,15,14,0.8904761904761905,0.7095238095238094,0.7586206896551724,0.7045883719132817,0.643349753694581,29
scores_basetyp-v7-Qwen--Qwen3.5-9B-delta0.72-epoch2--humaneval-v2.1correct-multi-all--d2g--random--alpha1.0--full-completion--semi0.1--fix1_merged_humaneval-v2.1correct-multi-humaneval_104_test_log-odds_tc_20260616.csv,lenorm,29,15,14,0.8952380952380952,0.7095238095238094,0.7586206896551724,0.6023955692953767,0.5610837438423644,29
scores_basetyp-v7-Qwen--Qwen3.5-9B-delta0.72-epoch2--humaneval-v2.1correct-multi-all--d2g--random--alpha1.0--full-completion--semi0.1--fix1_merged_humaneval-v2.1correct-multi-humaneval_104_test_log-odds_tc_20260616.csv,tc+lenorm,29,15,14,0.9238095238095239,0.7095238095238094,0.7586206896551724,0.7128067655577878,0.5384236453201969,29
scores_basetyp-v7-Qwen--Qwen3.5-9B-delta0.72-epoch2--humaneval-v2.1correct-multi-all--d2g--random--alpha1.0--full-completion--semi0.1--fix1_merged_humaneval-v2.1correct-multi-humaneval_107_test_log-odds_tc_20260616.csv,raw,28,15,13,0.8923076923076924,0.8666666666666667,0.8214285714285714,0.8812738983081023,0.8221127531472359,28
scores_basetyp-v7-Qwen--Qwen3.5-9B-delta0.72-epoch2--humaneval-v2.1correct-multi-all--d2g--random--alpha1.0--full-completion--semi0.1--fix1_merged_humaneval-v2.1correct-multi-humaneval_107_test_log-odds_tc_20260616.csv,tc,28,15,13,0.9589743589743589,0.8666666666666667,0.8214285714285714,0.7990333303691777,0.7476737821565407,28
