id,question,answer,gpt4_ground_truth,strategy
nq_1338,where is fort myers located at in florida?,Lee County,Yes,plausibleqa
nq_1338,where is fort myers located at in florida?,Southwest Florida,Yes,plausibleqa
nq_1338,where is fort myers located at in florida?,"Lee County, Florida",Yes,plausibleqa
nq_1338,where is fort myers located at in florida?,Florida’s Gulf Coast,Yes,plausibleqa
nq_1338,where is fort myers located at in florida?,Along the Caloosahatchee River near its mouth,Yes,plausibleqa
nq_1338,where is fort myers located at in florida?,Collier County,No,plausibleqa
nq_1338,where is fort myers located at in florida?,Charlotte County,No,plausibleqa
nq_1338,where is fort myers located at in florida?,Sarasota County,No,plausibleqa
nq_1338,where is fort myers located at in florida?,Hendry County,No,plausibleqa
nq_1338,where is fort myers located at in florida?,Glades County,No,plausibleqa
nq_1338,where is fort myers located at in florida?,Palm Beach County,No,plausibleqa
nq_1338,where is fort myers located at in florida?,Manatee County,No,plausibleqa
nq_1338,where is fort myers located at in florida?,Hillsborough County,No,plausibleqa
nq_1338,where is fort myers located at in florida?,DeSoto County,No,plausibleqa
nq_1338,where is fort myers located at in florida?,Cape Coral,No,plausibleqa
